subjID,exptPart,trialNumber,liarPlayer,marblesSampled,probabilityRed,drawnRed,drawnBlue,reportedDrawn,callBS,responseTime,catchQuestion,catchKey,catchResponse,catchResponseTime,trialTime
visitor-g90sy,practice,1,red,6,0.5,4,2,4,False,232573,,-1,-1,-1,128562
visitor-g90sy,trial,1,red,6,0.5,4,2,4,True,18802,,-1,-1,-1,8866
visitor-g90sy,trial,2,blue,6,0.5,2,4,4,False,19993,,-1,-1,-1,17327
visitor-g90sy,trial,3,red,6,0.5,2,4,3,False,20432,,-1,-1,-1,7366
visitor-g90sy,trial,4,blue,6,0.5,3,3,4,True,18161,,-1,-1,-1,5263
visitor-g90sy,trial,5,red,6,0.5,2,4,2,False,24734,,-1,-1,-1,12655
visitor-g90sy,trial,6,blue,6,0.5,5,1,1,False,23724,,-1,-1,-1,12190
visitor-g90sy,trial,7,red,6,0.5,2,4,2,False,22083,,-1,-1,-1,13284
visitor-g90sy,trial,8,blue,6,0.5,2,4,4,True,13955,,-1,-1,-1,5468
visitor-g90sy,trial,9,red,6,0.5,3,3,3,False,20878,,-1,-1,-1,11897
visitor-g90sy,trial,10,blue,6,0.5,5,1,1,True,35143,,-1,-1,-1,16741
visitor-g90sy,trial,11,red,6,0.5,0,6,0,True,40160,,-1,-1,-1,23619
visitor-g90sy,trial,12,blue,6,0.5,5,1,1,False,29002,,-1,-1,-1,8871
visitor-g90sy,trial,13,red,6,0.5,3,3,3,True,15110,,-1,-1,-1,7206
visitor-g90sy,trial,14,blue,6,0.5,3,3,5,False,22135,,-1,-1,-1,16318
visitor-g90sy,trial,15,red,6,0.5,4,2,4,False,11489,,-1,-1,-1,3909
visitor-g90sy,trial,16,blue,6,0.5,4,2,4,True,13520,,-1,-1,-1,5273
visitor-g90sy,trial,17,red,6,0.5,4,2,4,False,11116,,-1,-1,-1,4659
visitor-g90sy,trial,18,blue,6,0.5,3,3,1,True,12961,,-1,-1,-1,7541
visitor-g90sy,trial,19,red,6,0.5,5,1,5,False,9995,,-1,-1,-1,3843
visitor-g90sy,trial,20,blue,6,0.5,4,2,0,True,18341,,-1,-1,-1,11840
