subjID,playerColor,compColor,exptPart,trialNumber,playerRole,liarPlayer,marblesSampled,probabilityRed,drawnRed,drawnBlue,reportedDrawn,reportedRed,reportedBlue,callBS,redTrialScore,blueTrialScore,redTotalScore,blueTotalScore,responseTime,trialTime,currStartTime,currEndTime
sona-22641,blue,red,trial,1,liar,blue,6,0.5,0,6,6,0,6,TRUE,-3,6,0,0,3613,19247,1610649916258,1610649935505
sona-22641,blue,red,trial,2,liar,blue,6,0.5,2,4,4,2,4,FALSE,2,4,0,0,5364,20814,1610649936514,1610649957328
sona-22641,blue,red,trial,3,liar,blue,6,0.5,1,5,5,1,5,FALSE,1,5,0,0,6049,21593,1610649958334,1610649979927
sona-22641,blue,red,trial,4,liar,blue,6,0.5,5,1,2,4,2,TRUE,6,0,0,0,2885,17824,1610649980935,1610649998759
sona-22641,blue,red,trial,5,liar,blue,6,0.5,2,4,4,2,4,TRUE,-1,4,0,0,1949,17295,1610649999768,1610650017063
sona-22641,blue,red,trial,6,liar,blue,6,0.5,3,3,4,2,4,FALSE,2,4,5,19,3251,19923,1610650020589,1610650040512
sona-22641,blue,red,trial,7,liar,blue,6,0.5,3,3,4,2,4,FALSE,2,4,5,19,1367,15846,1610650041520,1610650057366
sona-22641,blue,red,trial,8,liar,blue,6,0.5,3,3,3,3,3,FALSE,3,3,5,19,1474,16015,1610650058373,1610650074388
sona-22641,blue,red,trial,9,liar,blue,6,0.5,6,0,2,4,2,TRUE,6,0,5,19,3330,18356,1610650075396,1610650093753
sona-22641,blue,red,trial,10,liar,blue,6,0.5,5,1,3,3,3,FALSE,3,3,5,19,1719,16648,1610650094760,1610650111408
sona-22641,blue,red,trial,11,detector,red,6,0.5,3,3,6,6,0,TRUE,0,6,21,33,4056,12760,1610650127929,1610650140689
sona-22641,blue,red,trial,12,detector,red,6,0.5,4,2,1,1,5,FALSE,1,5,21,33,2955,11370,1610650141714,1610650153084
sona-22641,blue,red,trial,13,detector,red,6,0.5,4,2,4,4,2,TRUE,4,-1,21,33,2851,11276,1610650154106,1610650165382
sona-22641,blue,red,trial,14,detector,red,6,0.5,4,2,5,5,1,FALSE,5,1,21,33,2808,11201,1610650166385,1610650177586
sona-22641,blue,red,trial,15,detector,red,6,0.5,1,5,4,4,2,FALSE,4,2,21,33,4586,13173,1610650178589,1610650191762
sona-22641,blue,red,trial,16,detector,red,6,0.5,3,3,5,5,1,TRUE,0,6,35,46,3122,11643,1610650195274,1610650206917
sona-22641,blue,red,trial,17,detector,red,6,0.5,1,5,0,0,6,FALSE,0,6,35,46,2152,10789,1610650207924,1610650218713
sona-22641,blue,red,trial,18,detector,red,6,0.5,4,2,1,1,5,FALSE,1,5,35,46,3204,11837,1610650219718,1610650231555
sona-22641,blue,red,trial,19,detector,red,6,0.5,0,6,0,0,6,FALSE,0,6,35,46,1443,9863,1610650232560,1610650242423
sona-22641,blue,red,trial,20,detector,red,6,0.5,3,3,1,1,5,FALSE,1,5,35,46,2002,10528,1610650243427,1610650253955
sona-32661,blue,red,trial,1,detector,red,6,0.5,4,2,6,6,0,TRUE,0,6,0,0,3532,11964,1610516081346,1610516093310
sona-32661,blue,red,trial,2,detector,red,6,0.5,1,5,3,3,3,FALSE,3,3,0,0,3837,12236,1610516094325,1610516106561
sona-32661,blue,red,trial,3,detector,red,6,0.5,2,4,2,2,4,FALSE,2,4,0,0,5783,14247,1610516107572,1610516121819
sona-32661,blue,red,trial,4,detector,red,6,0.5,4,2,1,1,5,FALSE,1,5,0,0,2009,10541,1610516122825,1610516133366
sona-32661,blue,red,trial,5,detector,red,6,0.5,4,2,3,3,3,FALSE,3,3,0,0,2749,11470,1610516134380,1610516145850
sona-32661,blue,red,trial,6,detector,red,6,0.5,3,3,0,0,6,FALSE,0,6,9,21,2768,11260,1610516149374,1610516160634
sona-32661,blue,red,trial,7,detector,red,6,0.5,2,4,3,3,3,FALSE,3,3,9,21,6171,14914,1610516161641,1610516176555
sona-32661,blue,red,trial,8,detector,red,6,0.5,4,2,5,5,1,TRUE,0,6,9,21,2331,10741,1610516177566,1610516188307
sona-32661,blue,red,trial,9,detector,red,6,0.5,2,4,5,5,1,TRUE,0,6,9,21,2116,10525,1610516189315,1610516199840
sona-32661,blue,red,trial,10,detector,red,6,0.5,1,5,1,1,5,FALSE,1,5,9,21,1714,10463,1610516200846,1610516211309
sona-32661,blue,red,trial,11,liar,blue,6,0.5,0,6,6,0,6,FALSE,0,6,13,47,3331,19131,1610516227947,1610516247078
sona-32661,blue,red,trial,12,liar,blue,6,0.5,2,4,4,2,4,TRUE,-1,4,13,47,3117,18355,1610516248091,1610516266446
sona-32661,blue,red,trial,13,liar,blue,6,0.5,5,1,3,3,3,FALSE,3,3,13,47,4010,18894,1610516267463,1610516286357
sona-32661,blue,red,trial,14,liar,blue,6,0.5,1,5,5,1,5,TRUE,-2,5,13,47,2340,17589,1610516287388,1610516304977
sona-32661,blue,red,trial,15,liar,blue,6,0.5,6,0,2,4,2,FALSE,4,2,13,47,5055,20711,1610516306001,1610516326712
sona-32661,blue,red,trial,16,liar,blue,6,0.5,3,3,3,3,3,FALSE,3,3,17,67,2122,17613,1610516330252,1610516347865
sona-32661,blue,red,trial,17,liar,blue,6,0.5,4,2,3,3,3,TRUE,6,0,17,67,3947,18960,1610516348885,1610516367845
